Region_Income_Group,Value_1960_pct,Value_2020_pct,Trend_Direction
East Asia & Pacific,26.42,14.81,Declining
Europe & Central Asia,5.72,15.11,Strongly Increasing
High income,5.97,12.78,Increasing
Latin America & Caribbean,32.57,34.20,Broadly Stable / Rising
Low income,51.36,69.20,Strongly Increasing
Lower middle income,55.50,41.64,Declining
North America,6.20,12.46,Increasing
South Asia,55.64,36.89,Declining
Sub-Saharan Africa,70.72,70.27,Broadly Stable
Upper middle income,25.87,16.59,Declining
World,16.68,19.74,Increasing (non-linear)
